,UserID,Game,Hours,Ratings
1,151603712,The Elder Scrolls V Skyrim,273.0,3
3,151603712,Fallout 4,87.0,2
5,151603712,Spore,14.9,1
7,151603712,Fallout New Vegas,12.1,1
9,151603712,Left 4 Dead 2,8.9,1
11,151603712,HuniePop,8.5,1
13,151603712,Path of Exile,8.1,1
15,151603712,Poly Bridge,7.5,1
17,151603712,Left 4 Dead,3.3,1
19,151603712,Team Fortress 2,2.8,1
21,151603712,Tomb Raider,2.5,1
23,151603712,The Banner Saga,2.0,1
25,151603712,Dead Island Epidemic,1.4,1
27,151603712,BioShock Infinite,1.3,1
29,151603712,Dragon Age Origins - Ultimate Edition,1.3,1
31,151603712,Fallout 3 - Game of the Year Edition,0.8,1
33,151603712,SEGA Genesis & Mega Drive Classics,0.8,1
35,151603712,Grand Theft Auto IV,0.6,1
37,151603712,Realm of the Mad God,0.5,1
39,151603712,Marvel Heroes 2015,0.5,1
41,151603712,Eldevin,0.5,1
43,151603712,Dota 2,0.5,1
45,151603712,BioShock,0.5,1
47,151603712,Robocraft,0.4,1
49,151603712,Garry's Mod,0.1,1
51,151603712,Jazzpunk,0.1,1
67,187131847,Dota 2,2.3,1
69,59945701,Ultra Street Fighter IV,238.0,3
71,59945701,FINAL FANTASY XIII,84.0,2
73,59945701,The Elder Scrolls V Skyrim,58.0,2
75,59945701,Sid Meier's Civilization V,22.0,2
77,59945701,L.A. Noire,13.8,1
79,59945701,Company of Heroes Tales of Valor,10.2,1
81,59945701,7 Days to Die,7.8,1
83,59945701,Divekick,7.0,1
85,59945701,FINAL FANTASY VII,5.2,1
87,59945701,Orcs Must Die! 2,4.8,1
89,59945701,Killing Floor,3.4,1
91,59945701,Company of Heroes,3.2,1
93,59945701,Bastion,2.8,1
95,59945701,Undertale,2.6,1
97,59945701,Counter-Strike Global Offensive,2.3,1
99,59945701,Orcs Must Die!,0.7,1
101,59945701,THE KING OF FIGHTERS XIII STEAM EDITION,0.6,1
103,59945701,GUILTY GEAR XX ACCENT CORE PLUS R,0.5,1
105,59945701,Skullgirls,0.4,1
107,59945701,Assassin's Creed II,0.3,1
109,59945701,Company of Heroes Opposing Fronts,0.1,1
111,59945701,Team Fortress 2,0.1,1
134,53875128,Grand Theft Auto V,86.0,2
136,53875128,Insurgency,72.0,2
138,53875128,Left 4 Dead 2,71.0,2
140,53875128,METAL GEAR SOLID V THE PHANTOM PAIN,59.0,2
142,53875128,S.T.A.L.K.E.R. Shadow of Chernobyl,54.0,2
144,53875128,S.T.A.L.K.E.R. Call of Pripyat,50.0,2
146,53875128,Saints Row The Third,35.0,2
148,53875128,Far Cry 3,35.0,2
150,53875128,S.T.A.L.K.E.R. Clear Sky,35.0,2
152,53875128,Rocket League,34.0,2
154,53875128,Assassin's Creed II,33.0,2
156,53875128,Far Cry 4,32.0,2
158,53875128,Prototype,25.0,2
160,53875128,Space Pirates and Zombies,24.0,2
162,53875128,Dying Light,23.0,2
164,53875128,Just Cause 2,23.0,2
166,53875128,Mirror's Edge,23.0,2
168,53875128,Mad Max,22.0,2
170,53875128,Portal 2,21.0,2
172,53875128,Deus Ex Human Revolution,21.0,2
174,53875128,Middle-earth Shadow of Mordor,19.6,1
176,53875128,RUNNING WITH RIFLES,18.5,1
178,53875128,Deus Ex Human Revolution - Director's Cut,18.3,1
180,53875128,Batman Arkham City GOTY,16.9,1
182,53875128,Tropico 4,14.3,1
184,53875128,Cave Story+,13.7,1
186,53875128,Dust An Elysian Tail,13.4,1
188,53875128,F.E.A.R.,12.5,1
190,53875128,South Park The Stick of Truth,12.2,1
192,53875128,Sleeping Dogs,11.5,1
194,53875128,Watch_Dogs,11.2,1
196,53875128,Saints Row IV,11.1,1
198,53875128,DayZ,11.0,1
200,53875128,Half-Life 2,10.2,1
202,53875128,Reassembly,10.1,1
204,53875128,Sid Meier's Civilization III Complete,9.8,1
206,53875128,The Talos Principle,9.8,1
208,53875128,DiRT 3,9.7,1
210,53875128,FTL Faster Than Light,9.7,1
212,53875128,Bastion,9.6,1
214,53875128,Age of Empires II HD Edition,9.0,1
216,53875128,Batman Arkham Asylum GOTY Edition,8.9,1
218,53875128,Gunpoint,8.6,1
220,53875128,Rebuild 3 Gangs of Deadsville,8.4,1
222,53875128,Recettear An Item Shop's Tale,8.3,1
224,53875128,Metro 2033,7.8,1
226,53875128,Monaco,7.6,1
228,53875128,Fallout New Vegas,7.5,1
230,53875128,Overgrowth,7.3,1
232,53875128,Assassin's Creed III,7.2,1
234,53875128,Ori and the Blind Forest,7.0,1
236,53875128,Far Cry 3 Blood Dragon,6.7,1
238,53875128,Burnout Paradise The Ultimate Box,6.6,1
240,53875128,PROTOTYPE 2,6.4,1
242,53875128,Game Dev Tycoon,6.4,1
244,53875128,Sniper Elite 3,6.2,1
246,53875128,Gratuitous Space Battles,6.0,1
248,53875128,Sid Meier's Civilization V,5.9,1
250,53875128,Rogue Legacy,5.7,1
252,53875128,Plague Inc Evolved,5.6,1
254,53875128,From Dust,5.6,1
256,53875128,Next Car Game Wreckfest,5.5,1
258,53875128,Rivals of Aether,5.5,1
260,53875128,Half-Life 2 Episode Two,5.5,1
262,53875128,Rise of Nations Extended Edition,5.2,1
264,53875128,Nidhogg,4.9,1
266,53875128,Spec Ops The Line,4.4,1
268,53875128,Dishonored,4.3,1
270,53875128,Half-Life 2 Episode One,4.2,1
272,53875128,Wolfenstein The New Order,4.0,1
274,53875128,Distance,4.0,1
276,53875128,Epic Battle Fantasy 4,4.0,1
278,53875128,Metro Last Light,3.7,1
280,53875128,Miasmata,3.4,1
282,53875128,Dead Space,3.3,1
284,53875128,Hotline Miami,3.2,1
286,53875128,NOT A HERO,3.0,1
288,53875128,Receiver,2.9,1
290,53875128,Crypt of the NecroDancer,2.8,1
292,53875128,Portal,2.8,1
294,53875128,F.E.A.R. 2 Project Origin,2.8,1
296,53875128,NaissanceE,2.7,1
298,53875128,SteamWorld Dig,2.6,1
300,53875128,Kairo,2.5,1
302,53875128,SNOW,2.5,1
304,53875128,The Binding of Isaac,2.4,1
306,53875128,LEGO The Lord of the Rings,2.2,1
308,53875128,METAL GEAR RISING REVENGEANCE,2.2,1
310,53875128,Starpoint Gemini 2,2.0,1
312,53875128,The Vanishing of Ethan Carter,1.9,1
314,53875128,Goat Simulator,1.9,1
316,53875128,Mass Effect,1.9,1
318,53875128,Arma 2 Operation Arrowhead,1.8,1
320,53875128,METAL GEAR SOLID V GROUND ZEROES,1.8,1
322,53875128,Banished,1.8,1
324,53875128,DiRT Showdown,1.7,1
326,53875128,Left 4 Dead,1.7,1
328,53875128,Sonic Adventure 2 ,1.6,1
330,53875128,Grand Theft Auto IV,1.5,1
332,53875128,Battlestations Midway,1.4,1
334,53875128,HOARD,1.4,1
336,53875128,Sunless Sea,1.3,1
338,53875128,Mark of the Ninja,1.3,1
340,53875128,L.A. Noire,1.3,1
342,53875128,Creeper World 3 Arc Eternal,1.1,1
344,53875128,Turbo Dismount,1.1,1
346,53875128,Floating Point,1.1,1
348,53875128,Grow Home,1.1,1
350,53875128,LUFTRAUSERS,1.0,1
352,53875128,Arma 2,1.0,1
354,53875128,No Time To Explain Remastered,0.9,1
356,53875128,FEZ,0.9,1
358,53875128,Delver,0.9,1
360,53875128,The Legend of Heroes Trails in the Sky,0.9,1
362,53875128,Evoland,0.9,1
364,53875128,Bleed,0.8,1
366,53875128,Borderlands 2,0.8,1
368,53875128,Race The Sun,0.8,1
370,53875128,Shadowgrounds,0.8,1
372,53875128,They Bleed Pixels,0.8,1
374,53875128,BioShock,0.8,1
376,53875128,Trine,0.8,1
378,53875128,"Sir, You Are Being Hunted",0.8,1
380,53875128,Next Car Game Sneak Peek 2.0,0.7,1
382,53875128,Symphony,0.7,1
384,53875128,DLC Quest,0.7,1
386,53875128,Far Cry 2,0.7,1
388,53875128,The Stanley Parable,0.6,1
390,53875128,Freedom Planet,0.6,1
392,53875128,KHOLAT,0.6,1
394,53875128,Osmos,0.6,1
396,53875128,Secrets of Rtikon,0.6,1
398,53875128,Oil Rush,0.6,1
400,53875128,Unepic,0.6,1
402,53875128,FINAL FANTASY VII,0.6,1
404,53875128,The Legend of Korra,0.5,1
406,53875128,404Sight,0.5,1
408,53875128,Dark Souls Prepare to Die Edition,0.5,1
410,53875128,Gravity Ghost,0.5,1
412,53875128,Psychonauts,0.5,1
414,53875128,Rock of Ages,0.5,1
416,53875128,Spore,0.5,1
418,53875128,Half-Life 2 Lost Coast,0.5,1
420,53875128,Galcon Legends,0.5,1
422,53875128,Air Brawl,0.5,1
424,53875128,Cat Goes Fishing,0.5,1
426,53875128,One Finger Death Punch,0.5,1
428,53875128,Mind Path to Thalamus Enhanced Edition,0.4,1
430,53875128,INK,0.4,1
432,53875128,Intrusion 2,0.4,1
434,53875128,Amnesia The Dark Descent,0.4,1
436,53875128,Fieldrunners,0.4,1
438,53875128,Out There Somewhere,0.4,1
440,53875128,KAMI,0.4,1
442,53875128,Lone Survivor The Director's Cut,0.4,1
444,53875128,NightSky,0.4,1
446,53875128,Frozen Synapse,0.4,1
448,53875128,Hammerfight,0.4,1
450,53875128,Spintires,0.4,1
452,53875128,Ziggurat,0.4,1
454,53875128,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,0.4,1
456,53875128,Dead Island,0.3,1
458,53875128,Superbrothers Sword & Sworcery EP,0.3,1
460,53875128,GRID 2,0.3,1
462,53875128,Sonic & All-Stars Racing Transformed,0.3,1
464,53875128,Call of Juarez Gunslinger,0.3,1
466,53875128,Crysis 2 Maximum Edition,0.3,1
468,53875128,Strike Vector,0.3,1
470,53875128,Prison Architect,0.3,1
472,53875128,Lego Harry Potter,0.3,1
474,53875128,Outlast,0.3,1
476,53875128,Super Hexagon,0.2,1
478,53875128,WRC 4 FIA WORLD RALLY CHAMPIONSHIP,0.2,1
480,53875128,Valkyria Chronicles,0.2,1
482,53875128,Shatter,0.2,1
484,53875128,Proteus,0.2,1
486,53875128,Jamestown,0.2,1
488,53875128,Spelunky,0.2,1
490,53875128,Astebreed,0.2,1
492,53875128,STAR WARS Knights of the Old Republic II The Sith Lords,0.2,1
494,53875128,Phantom Breaker Battle Grounds,0.2,1
496,53875128,Tom Clancy's Splinter Cell Chaos Theory,0.2,1
498,53875128,The Witcher Enhanced Edition,0.2,1
500,53875128,Risk of Rain,0.2,1
502,53875128,Survarium,0.2,1
504,53875128,Afterlife Empire,0.2,1
506,53875128,BattleBlock Theater,0.2,1
508,53875128,Need for Speed Hot Pursuit,0.2,1
510,53875128,BIT.TRIP RUNNER,0.1,1
512,53875128,Coin Crypt,0.1,1
514,53875128,Skullgirls,0.1,1
516,53875128,The Crew,0.1,1
518,53875128,Metro Last Light Redux,0.1,1
520,53875128,Crimzon Clover  WORLD IGNITION,0.1,1
522,53875128,Sonic Generations,0.1,1
