,UserID,Game,Hours,Min_Hours,Max_Hours,Ratings
1,59945701,The Elder Scrolls V Skyrim,58.0,0.1,1986.0,0.029204431017119836
5,54103616,The Elder Scrolls V Skyrim,35.0,0.1,1986.0,0.017623363544813697
6,56038151,The Elder Scrolls V Skyrim,14.6,0.1,1986.0,0.007351460221550855
9,148510973,The Elder Scrolls V Skyrim,73.0,0.1,1986.0,0.036757301107754284
11,100519466,The Elder Scrolls V Skyrim,3.5,0.1,1986.0,0.0017623363544813696
12,180789959,The Elder Scrolls V Skyrim,5.0,0.1,1986.0,0.0025176233635448137
13,168031436,The Elder Scrolls V Skyrim,14.1,0.1,1986.0,0.007099697885196375
15,170491009,The Elder Scrolls V Skyrim,48.0,0.1,1986.0,0.024169184290030208
16,190231757,The Elder Scrolls V Skyrim,18.0,0.1,1986.0,0.00906344410876133
17,65716118,The Elder Scrolls V Skyrim,22.0,0.1,1986.0,0.01107754279959718
20,128790593,The Elder Scrolls V Skyrim,46.0,0.1,1986.0,0.023162134944612285
22,71082079,The Elder Scrolls V Skyrim,33.0,0.1,1986.0,0.016616314199395767
24,42061089,The Elder Scrolls V Skyrim,13.0,0.1,1986.0,0.006545820745216516
25,227083521,The Elder Scrolls V Skyrim,0.5,0.1,1986.0,0.00025176233635448137
29,4834220,The Elder Scrolls V Skyrim,58.0,0.1,1986.0,0.029204431017119836
30,65229865,The Elder Scrolls V Skyrim,57.0,0.1,1986.0,0.02870090634441088
31,65958466,The Elder Scrolls V Skyrim,70.0,0.1,1986.0,0.035246727089627394
34,68224834,The Elder Scrolls V Skyrim,4.8,0.1,1986.0,0.002416918429003021
35,34177747,The Elder Scrolls V Skyrim,5.8,0.1,1986.0,0.002920443101711984
36,44866715,The Elder Scrolls V Skyrim,12.6,0.1,1986.0,0.00634441087613293
37,142001340,The Elder Scrolls V Skyrim,37.0,0.1,1986.0,0.01863041289023162
39,117531196,The Elder Scrolls V Skyrim,6.1,0.1,1986.0,0.0030715005035246725
40,64787956,The Elder Scrolls V Skyrim,6.3,0.1,1986.0,0.003172205438066465
41,131973876,The Elder Scrolls V Skyrim,2.8,0.1,1986.0,0.0014098690835850955
42,44482198,The Elder Scrolls V Skyrim,33.0,0.1,1986.0,0.016616314199395767
44,159129006,The Elder Scrolls V Skyrim,16.2,0.1,1986.0,0.008157099697885197
45,156799348,The Elder Scrolls V Skyrim,22.0,0.1,1986.0,0.01107754279959718
47,102825821,The Elder Scrolls V Skyrim,2.0,0.1,1986.0,0.0010070493454179257
49,52907921,The Elder Scrolls V Skyrim,23.0,0.1,1986.0,0.011581067472306144
50,12610800,The Elder Scrolls V Skyrim,61.0,0.1,1986.0,0.030715005035246726
51,78341587,The Elder Scrolls V Skyrim,21.0,0.1,1986.0,0.010574018126888218
52,298222970,The Elder Scrolls V Skyrim,1.7,0.1,1986.0,0.0008559919436052368
54,215160630,The Elder Scrolls V Skyrim,45.0,0.1,1986.0,0.02265861027190332
56,136495026,The Elder Scrolls V Skyrim,46.0,0.1,1986.0,0.023162134944612285
58,89732768,The Elder Scrolls V Skyrim,69.0,0.1,1986.0,0.03474320241691843
59,87907200,The Elder Scrolls V Skyrim,53.0,0.1,1986.0,0.026686807653575024
60,110489310,The Elder Scrolls V Skyrim,63.0,0.1,1986.0,0.03172205438066465
61,107377573,The Elder Scrolls V Skyrim,34.0,0.1,1986.0,0.017119838872104734
62,115037563,The Elder Scrolls V Skyrim,9.0,0.1,1986.0,0.004531722054380665
63,70970228,The Elder Scrolls V Skyrim,52.0,0.1,1986.0,0.026183282980866064
64,306690580,The Elder Scrolls V Skyrim,20.0,0.1,1986.0,0.010070493454179257
65,191747590,The Elder Scrolls V Skyrim,41.0,0.1,1986.0,0.020644511581067476
68,85759872,The Elder Scrolls V Skyrim,7.9,0.1,1986.0,0.0039778449144008046
69,154123088,The Elder Scrolls V Skyrim,0.2,0.1,1986.0,0.00010070493454179256
70,72488020,The Elder Scrolls V Skyrim,6.8,0.1,1986.0,0.0034239677744209466
74,100478352,The Elder Scrolls V Skyrim,37.0,0.1,1986.0,0.01863041289023162
75,233277671,The Elder Scrolls V Skyrim,24.0,0.1,1986.0,0.012084592145015106
76,71603645,The Elder Scrolls V Skyrim,8.6,0.1,1986.0,0.004330312185297079
78,141873792,The Elder Scrolls V Skyrim,37.0,0.1,1986.0,0.01863041289023162
79,176539817,The Elder Scrolls V Skyrim,1.6,0.1,1986.0,0.0008056394763343404
81,96674526,The Elder Scrolls V Skyrim,14.9,0.1,1986.0,0.007502517623363545
83,92322563,The Elder Scrolls V Skyrim,60.0,0.1,1986.0,0.03021148036253777
84,158476996,The Elder Scrolls V Skyrim,62.0,0.1,1986.0,0.03121852970795569
